zipcode,age,creditcard,gender,salary
56335,58,5557783527541459,Male,8700
57255,36,5418686973265201,Female,9700
98559,32,5527060358825468,Female,6800
28700,58,5312916958971375,Male,4700
68925,52,5541858987662877,Male,5700
96338,38,5155271703366251,Female,7100
19840,38,5485337334153888,Male,6000
48772,32,5293804792403628,Female,7000
79641,19,5275938856549264,Male,100
72861,82,5303041772852809,Male,4000
62153,64,5193369123683240,Female,8300
34876,22,5203507204290025,Male,7600
25610,84,5262016395912213,Male,6700
49736,77,5134202079934311,Female,5400
73025,56,5445669794102040,Male,5600
23604,44,5296303354233579,Female,4100
11964,57,5501878919420143,Male,1500
09962,24,5217036561413487,Female,200
51178,46,5501801437628823,Female,4200
55897,80,5228511361304687,Male,7300
02198,56,5376932971679633,Female,1200
12694,94,5562888523772686,Male,1800
36449,87,5203626145214728,Female,5900
24890,95,5298613442902912,Male,4200
15703,75,5579717768479361,Female,7700
28416,58,5282506505249759,Female,1100
98762,60,5197268547153770,Female,8800
65247,35,5431376005483617,Female,8600
36067,18,5459713613354508,Male,2900
77664,55,5244601459683496,Female,9200
07641,42,5370780363154178,Female,9900
96354,73,5528212893292626,Female,2500
26675,59,5388156638197021,Male,4600
33267,89,5266470483776921,Male,2500
87083,48,5367214924602504,Male,700
42209,44,5392042355228583,Male,3800
65170,80,5343012307458935,Male,9300
70886,53,5266726582990568,Male,3500
10302,43,5163222677779102,Male,8200
18650,65,5300372206340415,Male,8000
08202,98,5483609154156239,Male,7600
86120,96,5547560199083983,Female,9700
05830,18,5205591949261242,Male,2000
55900,94,5120470152187695,Female,1900
46284,77,5375566678830858,Male,6300
07805,56,5305375828717048,Male,7200
62020,81,5390977137371445,Female,4200
71004,33,5529454535887814,Female,6000
96982,65,5391291226882828,Female,9700
97088,55,5539559418764944,Male,10000
52944,49,5298074885335278,Male,5300
19882,50,5241345838614284,Female,3900
11889,77,5224147000287613,Female,6200
16786,23,5431264098786171,Female,700
94361,86,5456422117438337,Male,4200
01502,29,5596281910032874,Male,100
20397,55,5332736190597978,Female,5100
92718,41,5589378661799922,Male,4800
66227,44,5434200106458517,Male,5600
47081,78,5549765675180348,Male,2600
30881,27,5519733284347464,Male,100
44261,21,5282906853098347,Male,9300
55217,41,5282977778084530,Male,4500
88117,19,5365958886397378,Female,6000
53951,51,5561783003246601,Female,5400
89509,85,5118248598638131,Female,9600
63070,60,5306548700447962,Female,7700
71046,29,5525417677542178,Male,8900
80562,58,5549202935303726,Female,6500
22622,46,5181093955902494,Female,9200
24491,62,5312169427780551,Male,7000
29048,77,5315431804020333,Male,5200
69048,89,5192390204067468,Female,700
65781,29,5516155027468865,Male,2000
19015,91,5575448352858059,Female,800
75605,88,5110695351142669,Female,500
75572,95,5401888231295157,Male,3600
86439,47,5364936170350924,Female,2600
82704,58,5479333959163920,Male,2300
68659,37,5325307303710590,Female,7400
39795,41,5517118127768153,Male,6500
82678,28,5172279327264371,Male,2900
64173,83,5227048411037703,Female,2100
82522,86,5268020795009723,Male,4800
59038,87,5505913822967496,Female,3800
84834,56,5303786290488177,Female,3100
81626,58,5282653785099932,Male,5400
17127,73,5347000034445859,Female,300
35903,21,5211997215600868,Male,7700
98159,75,5521594626475348,Female,3400
10208,47,5347202514006215,Male,8300
41012,90,5378803076722198,Female,9900
66581,20,5330109204117807,Female,6200
79592,95,5125765964385238,Male,5700
08337,59,5284663233412262,Female,6800
31871,34,5585190044226505,Female,9800
29638,33,5320920298707127,Female,6900
26272,34,5541485718923194,Female,1600
53196,69,5463827687753819,Male,8600
64390,36,5258512923111977,Female,9800
19937,73,5115297483341403,Female,4500
05195,38,5584476166630926,Female,4200
09948,60,5504095814648838,Male,8900
70124,69,5392018679540028,Female,2900
32038,45,5222484016484880,Female,6800
37804,64,5301927807147177,Male,100
31622,64,5217944727812809,Female,6900
60884,52,5128058083020325,Female,400
68305,32,5548523998835184,Male,6600
49340,84,5486752292528153,Male,2300
19332,74,5118798824885351,Female,2300
26852,28,5106015172236127,Female,6500
96273,19,5482552773234923,Male,7800
45392,33,5453532388618103,Male,10000
25965,95,5150588254864391,Male,3600
99925,31,5208734537355292,Female,8600
83402,45,5263717718748486,Male,1400
92803,81,5362344427214310,Female,7100
85596,27,5495116118396584,Male,1200
17767,75,5523562808347047,Male,4600
66883,61,5320904534282756,Female,1400
89585,63,5320687119760318,Female,9500
18433,55,5286253331607407,Female,4200
93560,60,5391790317917732,Male,2700
30313,83,5330558649679799,Male,2900
52518,94,5558837804452969,Male,5000
75026,100,5202057779043095,Male,6700
07850,37,5514321286806029,Female,8700
44824,59,5206849634669387,Male,3200
35446,88,5113047243495078,Male,4500
56041,65,5194224219587194,Female,2700
12811,68,5321659699482620,Female,9700
03937,91,5521762728952445,Male,8200
29048,63,5290286661285794,Female,4800
95437,26,5269647443057636,Female,8500
97196,88,5397938416201623,Female,3300
04933,79,5517631113835679,Female,1200
51041,99,5161379518621281,Male,3500
23494,26,5245500962563550,Female,3500
28022,31,5598258268491033,Male,9100
97246,42,5517323114653059,Male,3000
41686,79,5373181482288459,Male,2600
77364,30,5209079826597256,Male,8200
43757,18,5101498727321070,Female,6600
